,county,occupied_units,vacant_units,year,percent_occupied,total_units
39,"Washington County, Ohio",25184,3199,2011,0.88729168868689,28383
40,"Wayne County, Ohio",42485,3319,2011,0.9275390795563706,45804
41,"Williams County, Ohio",15139,1557,2011,0.9067441303306181,16696
42,"Wood County, Ohio",48680,4506,2011,0.9152784567367352,53186
43,"Wyandot County, Ohio",9179,680,2011,0.9310274875748048,9859
44,"Adams County, Ohio",10905,2022,2011,0.8435831979577628,12927
45,"Allen County, Ohio",40703,4345,2011,0.9035473272953294,45048
46,"Ashland County, Ohio",20125,1991,2011,0.9099746789654549,22116
47,"Ashtabula County, Ohio",38771,7293,2011,0.8416767974991316,46064
48,"Athens County, Ohio",22496,3763,2011,0.8566967515899311,26259
49,"Auglaize County, Ohio",18297,1248,2011,0.9361473522640061,19545
50,"Belmont County, Ohio",28747,3656,2011,0.8871709409622566,32403
51,"Brown County, Ohio",16112,3046,2011,0.8410063680968786,19158
52,"Butler County, Ohio",135104,12654,2011,0.9143599669730235,147758
53,"Carroll County, Ohio",11485,2180,2011,0.840468349798756,13665
54,"Champaign County, Ohio",15278,1475,2011,0.9119560675699875,16753
55,"Clark County, Ohio",54771,6691,2011,0.8911359864631805,61462
56,"Clermont County, Ohio",73333,6983,2011,0.9130559290801334,80316
57,"Clinton County, Ohio",16190,1937,2011,0.893142825619242,18127
58,"Columbiana County, Ohio",42235,4910,2011,0.8958532187930852,47145
59,"Coshocton County, Ohio",14375,2175,2011,0.8685800604229608,16550
60,"Crawford County, Ohio",17905,2273,2011,0.8873525621964515,20178
61,"Cuyahoga County, Ohio",537203,85004,2011,0.8633830863362193,622207
62,"Darke County, Ohio",20700,1988,2011,0.91237658674189,22688
63,"Defiance County, Ohio",15183,1550,2011,0.9073686726827228,16733
64,"Delaware County, Ohio",62618,2876,2011,0.956087580541729,65494
65,"Erie County, Ohio",31642,6206,2011,0.8360283238216022,37848
66,"Fairfield County, Ohio",54388,3995,2011,0.9315725468030077,58383
67,"Fayette County, Ohio",11543,1149,2011,0.9094705326189726,12692
68,"Franklin County, Ohio",460497,65295,2011,0.875815911995618,525792
69,"Fulton County, Ohio",16332,1039,2011,0.9401876691036786,17371
70,"Gallia County, Ohio",12009,1914,2011,0.8625296272355096,13923
71,"Geauga County, Ohio",34447,2007,2011,0.9449443133812476,36454
72,"Greene County, Ohio",62558,5286,2011,0.922085961912623,67844
